route	viewport	overflowX	status
/	320x720	0	ok
/login	320x720	0	ok
/chat	320x720	0	ok
/catalogo	320x720	0	ok
/pago	320x720	0	ok
/	375x812	0	ok
/login	375x812	0	ok
/chat	375x812	0	ok
/catalogo	375x812	0	ok
/pago	375x812	0	ok
/	768x1024	0	ok
/login	768x1024	0	ok
/chat	768x1024	0	ok
/catalogo	768x1024	0	ok
/pago	768x1024	0	ok
/	1024x768	0	ok
/login	1024x768	0	ok
/chat	1024x768	0	ok
/catalogo	1024x768	0	ok
/pago	1024x768	0	ok
/	1440x900	0	ok
/login	1440x900	0	ok
/chat	1440x900	0	ok
/catalogo	1440x900	0	ok
/pago	1440x900	0	ok
